+----------------+---------------+---------+--------------------------------------+
|       Time     |     TLP Type  | Payload |      End Point TLP Header            |
|       (ns)     |       (tag)   | (bytes) |                 (hex)                |
+----------------+---------------+---------+--------------------------------------+
|          68 RX |     CplD (07) | 0128    | 4A000020_00000080_01080700           |
|          68 RX |     CplD (08) | 0128    | 4A000020_00000080_01080800           |
|          68 RX |     CplD (09) | 0128    | 4A000020_00000080_01080900           |
|          68 RX |     CplD (10) | 0128    | 4A000020_00000080_01080A00           |
|          68 RX |     CplD (11) | 0128    | 4A000020_00000080_01080B00           |
|          69 TX |      MWr      | 0004    | 40000001_0108200F_00006024           |
|          69 RX |      MWr      | 0004    | 40000001_0000000F_80000100           |
|          69 RX |      MWr      | 0004    | 40000001_0000000F_80000104           |
|          69 RX |      MWr      | 0004    | 40000001_0000000F_80000108           |
|          69 RX |      MWr      | 0004    | 40000001_0000000F_8000010C           |
|          69 RX |      MWr      | 0004    | 40000001_0000000F_80000110           |
|          70 TX |      MRd (12) | 0256    | 00000040_01080CFF_00007200           |
|          70 TX |      MRd (13) | 0064    | 00000010_01080DFF_00007300           |
|          70 RX |     CplD (12) | 0256    | 4A000040_00000100_01080C00           |
|          70 RX |     CplD (13) | 0064    | 4A000010_00000040_01080D00           |
|          71 TX |      MWr      | 0128    | 40000020_010800FF_00004000           |
|          71 TX |      MWr      | 0128    | 40000020_010800FF_00004100           |
|          71 TX |      MWr      | 0128    | 40000020_010800FF_00004200           |
|          71 TX |      MWr      | 0128    | 40000020_010800FF_00004300           |
|          71 TX |      MWr      | 0128    | 40000020_010800FF_00004400           |
|          71 TX |      MWr      | 0128    | 40000020_010800FF_00004500           |
|          71 TX |      MWr      | 0128    | 40000020_010800FF_00004600           |
|          71 TX |      MWr      | 0128    | 40000020_010800FF_00004700           |
|          71 TX |      MWr      | 0128    | 40000020_010800FF_00004900           |
|          71 TX |      MWr      | 0004    | 40000001_0108200F_00007024           |
